"method","url"
"igraph_add_edge","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_add_edge"
"igraph_add_edges","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_add_edges"
"igraph_add_vertices","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_add_vertices"
"igraph_adhesion","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_adhesion"
"igraph_adjacency","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_adjacency"
"igraph_adjacency_spectral_embedding","https://igraph.org/c/html/latest/igraph-Embedding.html#igraph_adjacency_spectral_embedding"
"igraph_adjlist","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_adjlist"
"igraph_adjlist_clear","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_clear"
"igraph_adjlist_destroy","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_destroy"
"igraph_adjlist_get","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_get"
"igraph_adjlist_init","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_init"
"igraph_adjlist_init_complementer","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_init_complementer"
"igraph_adjlist_init_empty","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_init_empty"
"igraph_adjlist_init_from_inclist","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_init_from_inclist"
"igraph_adjlist_simplify","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_simplify"
"igraph_adjlist_size","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_size"
"igraph_adjlist_sort","https://igraph.org/c/html/latest/igraph-Data-structures.html#igraph_adjlist_sort"
"igraph_all_minimal_st_separators","https://igraph.org/c/html/latest/igraph-Separators.html#igraph_all_minimal_st_separators"
"igraph_all_st_cuts","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_all_st_cuts"
"igraph_all_st_mincuts","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_all_st_mincuts"
"igraph_almost_equals","https://igraph.org/c/html/latest/igraph-Nongraph.html#igraph_almost_equals"
"igraph_are_adjacent","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_are_adjacent"
"igraph_arpack_function_t","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_function_t"
"igraph_arpack_options_init","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_options_init"
"igraph_arpack_options_t","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_options_t"
"igraph_arpack_rnsolve","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_rnsolve"
"igraph_arpack_rssolve","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_rssolve"
"igraph_arpack_storage_destroy","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_storage_destroy"
"igraph_arpack_storage_init","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_storage_init"
"igraph_arpack_storage_t","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_storage_t"
"igraph_arpack_unpack_complex","https://igraph.org/c/html/latest/igraph-Linalg.html#igraph_arpack_unpack_complex"
"igraph_articulation_points","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_articulation_points"
"IGRAPH_ASSERT","https://igraph.org/c/html/latest/igraph-Error.html#IGRAPH_ASSERT"
"igraph_assortativity","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_assortativity"
"igraph_assortativity_degree","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_assortativity_degree"
"igraph_assortativity_nominal","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_assortativity_nominal"
"igraph_astar_heuristic_func_t","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_astar_heuristic_func_t"
"igraph_asymmetric_preference_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_asymmetric_preference_game"
"igraph_atlas","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_atlas"
"igraph_attribute_combination","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination"
"igraph_attribute_combination_add","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination_add"
"igraph_attribute_combination_destroy","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination_destroy"
"igraph_attribute_combination_init","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination_init"
"igraph_attribute_combination_remove","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination_remove"
"igraph_attribute_combination_type_t","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_combination_type_t"
"igraph_attribute_elemtype_t","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_elemtype_t"
"igraph_attribute_record_destroy","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_record_destroy"
"igraph_attribute_record_init","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_attribute_record_init"
